,url,section,title,year,type,author
0,https://mindmodeling.org/cogsci2010/papers/0001/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Wild Systems Theory: Overcoming the Computational-Ecological Divide,2010,talk,"Jordan, Jerome Scott"
1,https://mindmodeling.org/cogsci2010/papers/0002/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Framing and Resource Activation: Bridging the Cognitive-Situative Divide Using a Dynamic Unit of Cognitive Analysis,2010,talk,"Conlin, Luke"
1,https://mindmodeling.org/cogsci2010/papers/0002/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Framing and Resource Activation: Bridging the Cognitive-Situative Divide Using a Dynamic Unit of Cognitive Analysis,2010,talk,"Gupta, Ayush"
1,https://mindmodeling.org/cogsci2010/papers/0002/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Framing and Resource Activation: Bridging the Cognitive-Situative Divide Using a Dynamic Unit of Cognitive Analysis,2010,talk,"Hammer, David"
2,https://mindmodeling.org/cogsci2010/papers/0003/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Modeling Personality and Individual Differences: The Approach-Avoid-Conflict Triad,2010,talk,"Fua, Karl"
2,https://mindmodeling.org/cogsci2010/papers/0003/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Modeling Personality and Individual Differences: The Approach-Avoid-Conflict Triad,2010,talk,"Revelle, William"
2,https://mindmodeling.org/cogsci2010/papers/0003/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Modeling Personality and Individual Differences: The Approach-Avoid-Conflict Triad,2010,talk,"Ortony, Andrew"
3,https://mindmodeling.org/cogsci2010/papers/0004/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Understanding the Brain as an Endogenously Active Mechanism,2010,talk,"Bechtel, William"
3,https://mindmodeling.org/cogsci2010/papers/0004/index.html,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Understanding the Brain as an Endogenously Active Mechanism,2010,talk,"Abrahamsen, Adele"
4,https://mindmodeling.org/cogsci2010/papers/0005/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Likability-Based Genres: Analysis and Evaluation of the Netflix Dataset,2010,talk,"Olney, Andrew"
5,https://mindmodeling.org/cogsci2010/papers/0006/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Constructing Typing-Time Corpora: A New Way to Answer Old Questions,2010,talk,"Priva, Uriel Cohen"
6,https://mindmodeling.org/cogsci2010/papers/0007/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Large-Scale Acquisition of Feature-Based Conceptual Representations from Textual Corpora,2010,talk,"Devereux, Barry"
6,https://mindmodeling.org/cogsci2010/papers/0007/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Large-Scale Acquisition of Feature-Based Conceptual Representations from Textual Corpora,2010,talk,"Pilkington, Nicholas"
6,https://mindmodeling.org/cogsci2010/papers/0007/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Large-Scale Acquisition of Feature-Based Conceptual Representations from Textual Corpora,2010,talk,"Poibeau, Thierry"
6,https://mindmodeling.org/cogsci2010/papers/0007/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Large-Scale Acquisition of Feature-Based Conceptual Representations from Textual Corpora,2010,talk,"Korhonen, Anna"
7,https://mindmodeling.org/cogsci2010/papers/0008/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Are Random Representations Accurate Approximations of Lexical Semantics?,2010,talk,"Johns, Brendan"
7,https://mindmodeling.org/cogsci2010/papers/0008/index.html,"Language: Novel Approaches (10:30, Thu Aug 12)",Are Random Representations Accurate Approximations of Lexical Semantics?,2010,talk,"Jones, Michael"
8,https://mindmodeling.org/cogsci2010/papers/0009/index.html,"Induction: Basic Processes (10:30, Thu Aug 12)",A Neural Model of Rule Generation in Inductive Reasoning,2010,talk,"Rasmussen, Daniel"
8,https://mindmodeling.org/cogsci2010/papers/0009/index.html,"Induction: Basic Processes (10:30, Thu Aug 12)",A Neural Model of Rule Generation in Inductive Reasoning,2010,talk,"Eliasmith, Chris"
9,https://mindmodeling.org/cogsci2010/papers/0010/index.html,"Induction: Basic Processes (10:30, Thu Aug 12)",The Effects of Domain and Type of Knowledge on Category-Based Inductive Reasoning,2010,talk,"Crisp-Bright, Aimée Kay"
