url,authors,section,title,year
https://mindmodeling.org/cogsci2010/papers/0001/index.html,Jerome Scott Jordan,"Foundations: Steps to Unification (10:30, Thu Aug 12)",Wild Systems Theory: Overcoming the Computational-Ecological Divide,2010
https://mindmodeling.org/cogsci2010/papers/0002/index.html,"Luke Conlin, Ayush Gupta, David Hammer","Foundations: Steps to Unification (10:30, Thu Aug 12)",Framing and Resource Activation: Bridging the Cognitive-Situative Divide Using a Dynamic Unit of Cognitive Analysis,2010
https://mindmodeling.org/cogsci2010/papers/0003/index.html,"Karl Fua, William Revelle, Andrew Ortony","Foundations: Steps to Unification (10:30, Thu Aug 12)",Modeling Personality and Individual Differences: The Approach-Avoid-Conflict Triad,2010
https://mindmodeling.org/cogsci2010/papers/0004/index.html,"William Bechtel, Adele Abrahamsen","Foundations: Steps to Unification (10:30, Thu Aug 12)",Understanding the Brain as an Endogenously Active Mechanism,2010
https://mindmodeling.org/cogsci2010/papers/0005/index.html,Andrew Olney,"Language: Novel Approaches (10:30, Thu Aug 12)",Likability-Based Genres: Analysis and Evaluation of the Netflix Dataset,2010
https://mindmodeling.org/cogsci2010/papers/0006/index.html,Uriel Cohen Priva,"Language: Novel Approaches (10:30, Thu Aug 12)",Constructing Typing-Time Corpora: A New Way to Answer Old Questions,2010
https://mindmodeling.org/cogsci2010/papers/0007/index.html,"Barry Devereux, Nicholas Pilkington, Thierry Poibeau, Anna Korhonen","Language: Novel Approaches (10:30, Thu Aug 12)",Large-Scale Acquisition of Feature-Based Conceptual Representations from Textual Corpora,2010
https://mindmodeling.org/cogsci2010/papers/0008/index.html,"Brendan Johns, Michael Jones","Language: Novel Approaches (10:30, Thu Aug 12)",Are Random Representations Accurate Approximations of Lexical Semantics?,2010
https://mindmodeling.org/cogsci2010/papers/0009/index.html,"Daniel Rasmussen, Chris Eliasmith","Induction: Basic Processes (10:30, Thu Aug 12)",A Neural Model of Rule Generation in Inductive Reasoning,2010
https://mindmodeling.org/cogsci2010/papers/0010/index.html,"Aimée Kay Crisp-Bright, Aidan  Feeney","Induction: Basic Processes (10:30, Thu Aug 12)",The Effects of Domain and Type of Knowledge on Category-Based Inductive Reasoning,2010
https://mindmodeling.org/cogsci2010/papers/0011/index.html,"Joseph Austerweil, Thomas Griffiths","Induction: Basic Processes (10:30, Thu Aug 12)",Learning hypothesis spaces and dimensions through concept learning,2010
https://mindmodeling.org/cogsci2010/papers/0012/index.html,"Colin Dawson, LouAnn Gerken","Induction: Basic Processes (10:30, Thu Aug 12)","The Role of ""Explaining Away"" in Human Abstract Rule Induction",2010
https://mindmodeling.org/cogsci2010/papers/0013/index.html,Eddy J. Davelaar,"Cognitive Architecture: Central Processing (10:30, Thu Aug 12)",An Analysis of the Working Memory Capacity Paradox,2010
https://mindmodeling.org/cogsci2010/papers/0014/index.html,"Maartje Ament, Anna Cox, Ann Blandford, Duncan Brumby","Cognitive Architecture: Central Processing (10:30, Thu Aug 12)",Working Memory Load Affects Device-Specific but Not Task-Specific Error Rates,2010
https://mindmodeling.org/cogsci2010/papers/0015/index.html,"Emily Freeman, Simon Dennis, John Dunn","Cognitive Architecture: Central Processing (10:30, Thu Aug 12)",An examination of the ERP correlates of recognition memory using state-trace analysis.,2010
https://mindmodeling.org/cogsci2010/papers/0016/index.html,"James Pooley, Michael Lee, William Shankle","Cognitive Architecture: Central Processing (10:30, Thu Aug 12)",Modeling Change in Recognition Bias with the Progression of Alzheimers,2010
https://mindmodeling.org/cogsci2010/papers/0017/index.html,"Kathleen Carbary, Ellen Frohning, Michael Tanenhaus","Social Cognition: Alignment in Dialogue (10:30, Thu Aug 12)","Context, Syntactic Priming, and Referential Form in an Interactive Dialogue Task: Implications for Models of Alignment",2010
https://mindmodeling.org/cogsci2010/papers/0018/index.html,"Lisette Mol, Emiel  Krahmer, Alfons Maes, Marc Swerts","Social Cognition: Alignment in Dialogue (10:30, Thu Aug 12)",Converging Hands or Converging Minds?,2010
https://mindmodeling.org/cogsci2010/papers/0019/index.html,"Anne S. Warlaumont, D. Kimbrough Oller, Rick Dale, Jeffrey A. Richards, Jill Gilkerson, Dongxin Xu","Social Cognition: Alignment in Dialogue (10:30, Thu Aug 12)",Vocal Interaction Dynamics of Children With and Without Autism,2010
https://mindmodeling.org/cogsci2010/papers/0020/index.html,"Laura Staum Casasanto, Kyle Jasmin, Daniel Casasanto","Social Cognition: Alignment in Dialogue (10:30, Thu Aug 12)",Virtually accommodating:  Speech rate accommodation to a virtual interlocutor.,2010
https://mindmodeling.org/cogsci2010/papers/0021/index.html,"Sameer Honwad, Cindy Hmelo-Silver, Rebecca Jordan, Catherine  Eberbach, Steven  Gray, Suparna  Sinha, Ashok  Goel, Swaroop  Vattam, Spencer  Rugaber, David  Joyner","Education: Knowledge and Strategies (10:30, Thu Aug 12)",Connecting the Visible to the Invisible: Helping Middle School Students Understand Complex Ecosystem Processes.,2010
https://mindmodeling.org/cogsci2010/papers/0022/index.html,"Andrew Heckler, Thomas Scaife, Eleanor Sayre","Education: Knowledge and Strategies (10:30, Thu Aug 12)",Response Times and Misconception-like Responses to Science Questions,2010
https://mindmodeling.org/cogsci2010/papers/0023/index.html,"Katherine McEldoon, Caroline Cochrane-Braswell , Bethany Rittle-Johnson","Education: Knowledge and Strategies (10:30, Thu Aug 12)",Effects of Problem Context on Strategy Use within Functional Thinking,2010
https://mindmodeling.org/cogsci2010/papers/0024/index.html,"Simone Chin, Alan Kersten","Education: Knowledge and Strategies (10:30, Thu Aug 12)",The Application of the Less is More Hypothesis in Foreign Language Learning,2010
https://mindmodeling.org/cogsci2010/papers/0025/index.html,"Reiko Yakushijin, Robert Jacobs","Decision Making: Sequential Choices (10:30, Thu Aug 12)",Are People Successful at Learning Sequential Decisions on a Perceptual Matching Task?,2010
https://mindmodeling.org/cogsci2010/papers/0026/index.html,"Lisa Zaval, Todd Gureckis","Decision Making: Sequential Choices (10:30, Thu Aug 12)",The Impact of Perceptual Aliasing on Exploration and Learning in a Dynamic Decision Making Task,2010
https://mindmodeling.org/cogsci2010/papers/0027/index.html,"Christopher Kalff, Thomas Hills, Jan Malte Wiener","Decision Making: Sequential Choices (10:30, Thu Aug 12)",Human foraging behavior: A virtual reality investigation on area restricted search in humans,2010
https://mindmodeling.org/cogsci2010/papers/0028/index.html,"Bettina von Helversen, Joerg Rieskamp","Decision Making: Sequential Choices (10:30, Thu Aug 12)",Learning in Multiple-cue Judgment Tasks,2010
https://mindmodeling.org/cogsci2010/papers/0029/index.html,"Rose Scott, Adam Petrashek, Noah Goodman, Rebecca Saxe, Renee Baillargeon, Ori Friedman","Symposium: Success in Theory of Mind (10:30, Thu Aug 12)",Success in Theory of Mind,2010
https://mindmodeling.org/cogsci2010/papers/0030/index.html,Nancy Salay,"Foundations: Representation (12:00, Thu Aug 12)",Disentangling Representation from Conceptualisation,2010
https://mindmodeling.org/cogsci2010/papers/0031/index.html,"Jonathan Trigg, Michael Kalish","Foundations: Representation (12:00, Thu Aug 12)","Thought, Language and Mental Representation",2010
https://mindmodeling.org/cogsci2010/papers/0032/index.html,Muhammad Ali Khalidi,"Foundations: Representation (12:00, Thu Aug 12)",What Is Domain Specificity (and Why Does It Matter)?,2010
https://mindmodeling.org/cogsci2010/papers/0033/index.html,"Anthony Harrison, J. Gregory Trafton","Foundations: Representation (12:00, Thu Aug 12)",Cognition for action: an architectural account for grounded interaction,2010
https://mindmodeling.org/cogsci2010/papers/0034/index.html,"Jennifer M. Roche, Rick  Dale, Roger J. Kreuz","Language: Role of Syntax (12:00, Thu Aug 12)",The avoidance of ambiguity during conversation: More than mere priming or mimicry?,2010
https://mindmodeling.org/cogsci2010/papers/0035/index.html,"Marie Nilsenova, Marije van Amelsvoort","Language: Role of Syntax (12:00, Thu Aug 12)",Syntax Drives Phonological Choice - Even Independently of Word Choice,2010
https://mindmodeling.org/cogsci2010/papers/0036/index.html,"Jeffrey Gerard, Frank Keller, Themis Palpanas","Language: Role of Syntax (12:00, Thu Aug 12)",Corpus Evidence for Age Effects on Priming in Child Language,2010
https://mindmodeling.org/cogsci2010/papers/0037/index.html,"Laura Staum Casasanto, Philip Hofmeister, Ivan Sag","Language: Role of Syntax (12:00, Thu Aug 12)",Understanding acceptability judgments: Additivity and working memory effects,2010
https://mindmodeling.org/cogsci2010/papers/0038/index.html,"Sophia Deng, Vladimir Sloutsky","Induction: Facilitating Factors (12:00, Thu Aug 12)",The Role of Linguistic Labels in Categorization,2010
https://mindmodeling.org/cogsci2010/papers/0039/index.html,"Michael Wood, Michael Fry, Mark Blair","Induction: Facilitating Factors (12:00, Thu Aug 12)",The Price is Right: A High Information Access Cost Facilitates Category Learning,2010
https://mindmodeling.org/cogsci2010/papers/0040/index.html,"Anne Hsu, Thomas  Griffiths","Induction: Facilitating Factors (12:00, Thu Aug 12)",Effects of generative and discriminative learning on use of category variability,2010
https://mindmodeling.org/cogsci2010/papers/0041/index.html,"Doug Markant, Todd Gureckis","Induction: Facilitating Factors (12:00, Thu Aug 12)",Category Learning Through Active Sampling,2010
https://mindmodeling.org/cogsci2010/papers/0042/index.html,"Angela Nelson, Richard Shiffrin","Cognitive Architecture: Encoding & Retrieval (12:00, Thu Aug 12)",SARKAE - Modeling the Co-Evolution of Event Memory and Knowledge,2010
https://mindmodeling.org/cogsci2010/papers/0043/index.html,"Frank Renkewitz, Georg Jahn","Cognitive Architecture: Encoding & Retrieval (12:00, Thu Aug 12)",Looking at Nothing Indicates Memory Search in Multiattribute Decision Making,2010
https://mindmodeling.org/cogsci2010/papers/0044/index.html,"Giovanni Pezzulo, Laura Barca, Alessandro Lamberti Bocconi, Anna M. Borghi","Cognitive Architecture: Encoding & Retrieval (12:00, Thu Aug 12)",Motor Simulation in a Memory Task: Evidence from Rock Climbing,2010
https://mindmodeling.org/cogsci2010/papers/0045/index.html,Tobias Schlicht,"Social Cognition: Joint Attention (12:00, Thu Aug 12)",Enactive Social Cognition,2010
